RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-01.03377,2.0,0.19995000000000007,248.02280190491473,0.07000540210728576,0.0690165763624048,0.009529997579975184,0.0690165763624048,2.1016450126048918e-06,0.3187073805493609,1.0,1.0,-0.7481093697652837,-0.8171259461276885,-1.4286714594066376,-1.560473060696383,523.786,-0.8171259461276885,-0.7481093697652837,-1.560473060696383,-1.4286714594066376,0.07000540210728576,2.0,
RGI60-01.03622,1.275,0.5374999999999999,114.93453830739712,0.002803093661257537,0.002776586453615103,0.003338755668005245,0.002776586453615103,4.2558206653849533e-07,0.06617651542062053,1.0,1.0,-0.4625021109703934,-0.4652786974240085,-1.0321660052736599,-1.0383625135276695,448.145,-0.4652786974240085,-0.4625021109703934,-1.0383625135276695,-1.0321660052736599,0.002803093661257537,1.275,
RGI60-01.03890,0.1,0.20000000000000004,97.60876196238632,0.0002965837052825041,0.00023358549219389384,0.002943395722800359,0.00023358549219389384,3.650238905659423e-06,0.3902414017429158,1.0,1.0,-0.3530108326464393,-0.3532444181386332,-1.2808127176044333,-1.2816602249367353,196.525,-0.3532444181386332,-0.3530108326464393,-1.2816602249367353,-1.2808127176044333,0.0002965837052825041,0.1,
RGI60-01.04375,1.1,0.07747499999999996,463.9960750231134,0.12506228196188265,0.1271030495529706,0.012969063443690865,0.1271030495529706,1.2996330873089708e-05,1.3879473224542296,1.0,1.0,-0.827272303477874,-0.9543753530308444,-1.3506658491187076,-1.558183673211596,612.706,-0.9543753530308444,-0.827272303477874,-1.558183673211596,-1.3506658491187076,0.12506228196188265,1.1,
RGI60-01.09426,4.321875000000001,0.049999999999999815,69.82349004005194,0.002409786733344184,0.0005911668332693838,0.0020631900530995177,0.0005911668332693838,0.0,0.004788404834939746,1.0,1.0,-0.017184153964932336,-0.017775320798201717,-0.5621332195206361,-0.5814716470008423,30.587,-0.017775320798201717,-0.017184153964932336,-0.5814716470008423,-0.5621332195206361,0.002409786733344184,4.321875000000001,
RGI60-01.09519,2.3531249999999995,0.0031249999999998232,46.34197712356159,0.0,0.00027510251316989123,0.0003755155927949705,0.00027510251316989123,0.0,0.008373857236708814,1.0,1.0,-0.01523638954130222,-0.015511492054472109,-0.5923833654468155,-0.6030792164653718,25.736,-0.015511492054472109,-0.01523638954130222,-0.6030792164653718,-0.5923833654468155,0.0,2.3531249999999995,
RGI60-01.09639,1.1,0.20000000000000004,142.3183740095974,0.002902182224528568,0.22186710661925554,0.0098047768460812,0.22186710661925554,2.459752506192696e-06,0.12809036832395354,1.0,1.0,-0.007977881857672037,-0.2298449884769276,-0.02116038771704415,-0.6096366376138018,377.247,-0.2298449884769276,-0.007977881857672037,-0.6096366376138018,-0.02116038771704415,0.002902182224528568,1.1,
RGI60-01.09757,4.100000000000001,0.6773664062499991,79.43975123200795,0.00845096741105163,0.008321926858154412,0.00633348006907446,0.008321926858154412,0.0,0.014779070110879738,1.0,1.0,-0.02005356950609531,-0.028375496364249717,-0.3664904497546127,-0.5185784217310222,54.752,-0.028375496364249717,-0.02005356950609531,-0.5185784217310222,-0.3664904497546127,0.00845096741105163,4.100000000000001,
RGI60-01.09783,1.1,1.2,162.21186236100726,0.004983767611786367,0.004851470511614706,0.010007841805262879,0.004851470511614706,7.282518362220919e-07,0.1157590131627168,1.0,1.0,-0.03520976478502358,-0.0400612352966383,-0.6697884717203997,-0.7620770467623195,52.602,-0.0400612352966383,-0.03520976478502358,-0.7620770467623195,-0.6697884717203997,0.004983767611786367,1.1,
RGI60-01.09810,1.1999999999999995,0.7595749999999999,123.96144269684766,0.014168755833732113,0.01374268849314737,0.013242423945875959,0.01374268849314737,2.5470086603890863e-06,0.11765032490854553,1.0,1.0,-0.04071636955918277,-0.05445905805233013,-0.5164502060587635,-0.6907637409079598,78.889,-0.05445905805233013,-0.04071636955918277,-0.6907637409079598,-0.5164502060587635,0.014168755833732113,1.1999999999999995,
RGI60-01.10188,1.1,0.20000000000000004,32.03211313883024,0.0,0.0007895120974512526,0.0007304721099096272,0.0007895120974512526,0.0,0.0,1.0,1.0,-0.004509049477514206,-0.005298561574965457,-0.27722802892112475,-0.3257692755136233,16.276,-0.005298561574965457,-0.004509049477514206,-0.3257692755136233,-0.27722802892112475,0.0,1.1,
RGI60-01.10299,1.1,0.20000000000000004,39.19331391459815,0.0,0.0005783889299299146,0.000519378746223313,0.0005783889299299146,0.0,0.0,1.0,1.0,-0.010411286267667044,-0.010989675197596959,-0.5403408011067901,-0.5703589112340856,19.282,-0.010989675197596959,-0.010411286267667044,-0.5703589112340856,-0.5403408011067901,0.0,1.1,
RGI60-01.10325,0.45,0.03622500000000002,427.2497874493911,0.07362552252224462,0.07363273723110532,0.011341740352730448,0.07363273723110532,4.210838195603648e-06,0.6000010689725213,1.0,1.0,-0.058180738791325994,-0.13181347602243132,-0.6243463983807865,-1.414510553188895,93.254,-0.13181347602243132,-0.058180738791325994,-1.414510553188895,-0.6243463983807865,0.07362552252224462,0.45,
RGI60-01.10355,0.8999999999999999,0.5999999999999999,70.78596225492687,0.00042264000116289314,0.0005221027639088251,0.0005454106482821169,0.0005221027639088251,1.9764151120860642e-07,0.0072061460952710515,1.0,1.0,-0.006852042376448638,-0.007374145140357462,-0.4874922256050005,-0.5246375064408659,14.066,-0.007374145140357462,-0.006852042376448638,-0.5246375064408659,-0.4874922256050005,0.00042264000116289314,0.8999999999999999,
RGI60-01.10402,1.2999999999999998,1.8343750000000003,42.11337327709118,0.00014154146726280459,0.00023879602532645049,0.0009580358793086967,0.00023879602532645049,1.0883204220143902e-07,0.007327126406759469,1.0,1.0,0.0027721574727386697,0.0025333614474122197,0.11979981760190647,0.10948015843409344,23.157,0.0025333614474122197,0.0027721574727386697,0.10948015843409344,0.11979981760190647,0.00014154146726280459,1.2999999999999998,
RGI60-01.10431,0.1,0.4,63.72040941300954,0.00011584646971116928,0.00011521646353376987,0.0010815306256864233,0.00011521646353376987,1.1746017301825814e-06,0.017603877220715998,1.0,1.0,0.0015100239672169856,0.0013948075036832154,0.08993544290607505,0.0830732712432777,16.803,0.0013948075036832154,0.0015100239672169856,0.0830732712432777,0.08993544290607505,0.00011584646971116928,0.1,
RGI60-01.10575,1.1999999999999995,0.025000000000000026,317.06614275346067,0.2688757612283833,0.5393763143342862,0.012857268228570749,0.2720795094390767,3.316978797319608e-05,2.52801484854244,1.0,1.0,0.29668413124225024,0.024604621803173528,0.6599286679321357,0.05477203938460511,449.57,0.024604621803173528,0.5639809361374598,0.05477203938460511,1.2554708742689609,0.2688757612283833,1.1999999999999995,
RGI60-01.10607,1.4,0.06994999999999996,211.96876105898272,0.07899105778467237,0.07637176722025855,0.006340055713774313,0.07637176722025855,1.3028172327725465e-05,0.4289346752852641,1.0,1.0,0.0769522755531122,0.0005805083328536436,0.6334835309636914,0.004778838128005162,121.571,0.0005805083328536436,0.0769522755531122,0.004778838128005162,0.6334835309636914,0.07899105778467237,1.4,
RGI60-01.10612,1.1,0.20000000000000004,200.10918585735385,0.010333539771484232,0.16429857010179855,0.005282670709882196,0.14446693745440406,3.789152619573819e-06,0.14127777022586832,1.0,1.0,0.10049657726737736,-0.0439703601870267,0.6599286679321357,-0.28896808346093544,152.284,-0.0439703601870267,0.12032820991477185,-0.28896808346093544,0.79078297420033,0.010333539771484232,1.1,
RGI60-01.10689,1.2999999999999998,0.03247500000000003,1140.88111603603,3.5053578422498832,3.4225015287080227,0.12763653993541468,3.4225015287080227,0.00025755659324682985,12.960560011635726,1.0,1.0,-0.4195913396878792,-3.842092868395902,-0.4647112500480031,-4.255244593467843,773.873,-3.842092868395902,-0.4195913396878792,-4.255244593467843,-0.4647112500480031,3.5053578422498832,1.2999999999999998,
RGI60-01.10836,1.4749999999999996,0.8395999999999999,101.64413893070845,0.0031152048361129995,0.003055041326448489,0.003051846949293933,0.003055041326448489,2.737645128855021e-07,0.038353748842954116,1.0,1.0,-0.06601056798828066,-0.06906560931472915,-0.5099340574351955,-0.5335343636695647,129.55,-0.06906560931472915,-0.06601056798828066,-0.5335343636695647,-0.5099340574351955,0.0031152048361129995,1.4749999999999996,
RGI60-01.13638,0.55,0.3499999999999999,85.11249094523907,0.0017662865831877855,0.001817192172282104,0.003484559143364557,0.001817192172282104,1.9850146462212336e-06,0.11160935557406076,1.0,1.0,-0.007483388930885263,-0.009300581103167366,-0.06182758838077345,-0.07684118859242657,121.133,-0.009300581103167366,-0.007483388930885263,-0.07684118859242657,-0.06182758838077345,0.0017662865831877855,0.55,
RGI60-01.14391,0.275,0.15155000000000002,188.9462916992952,0.018912539066934825,0.0189371024165334,0.016608296789131182,0.0189371024165334,2.3527871649413143e-05,0.9350614027342028,1.0,1.0,-0.048498082074129235,-0.06743518449066263,-0.27419100530092944,-0.3812546854922287,176.99900000000005,-0.06743518449066263,-0.048498082074129235,-0.3812546854922287,-0.27419100530092944,0.018912539066934825,0.275,
RGI60-01.14443,2.1499999999999995,0.0,298.181957807692,1.5792800142692,3.788821631305791,0.056165522546144736,1.5770290352764316,3.835100975751439e-05,3.493790408762897,1.0,1.0,1.870563189752963,0.2935341544765316,0.6599286679321357,0.09236836259675472,2834.493,0.2935341544765316,4.0823557857823225,0.09236836259675472,1.2846222959728837,1.5792800142692,2.1499999999999995,
RGI60-01.14683,4.100000000000001,0.0,617.0639275231105,0.7926776231909741,1.528583986091684,0.013281555300869484,0.7900100521888264,1.690688321378981e-05,1.030591692784346,1.0,1.0,0.6725339654183075,-0.1174760867705189,0.6599286679321357,-0.11536139544436648,1019.101,-0.1174760867705189,1.4111078993211652,-0.11536139544436648,1.3857064945162132,0.7926776231909741,4.100000000000001,
RGI60-01.14876,0.575,0.182625,114.38402434278828,0.002875187933561825,0.0028573602551994672,0.0018493954049390586,0.0028573602551994672,1.759741968761343e-06,0.05736125850731701,1.0,1.0,-0.013225084387818694,-0.01608244464301816,-0.5072099518813651,-0.6167957598087872,26.094,-0.01608244464301816,-0.013225084387818694,-0.6167957598087872,-0.5072099518813651,0.002875187933561825,0.575,
RGI60-01.14878,4.500000000000002,0.10000000000000007,235.5495241283028,0.3726480892824958,0.4486631598505342,0.01207792883626368,0.3850354576776089,1.3388152988520818e-05,0.4226655598730589,1.0,1.0,0.18718942658761825,-0.19784603108999066,0.6599286679321357,-0.6980251925885865,283.651,-0.19784603108999066,0.2508171287605435,-0.6980251925885865,0.8849137566371534,0.3726480892824958,4.500000000000002,
RGI60-01.17807,1.1,0.20000000000000004,121.43020633777628,0.011661146153021044,0.1888874724101706,0.008091551282273882,0.13356035243187553,1.0955666961554585e-05,0.07921736671857231,1.0,1.0,0.09340168415843897,-0.040158668273436574,0.6599286679321357,-0.2837837079721065,141.533,-0.040158668273436574,0.148728804136734,-0.2837837079721065,1.051001274066096,0.011661146153021044,1.1,
RGI60-01.17840,3.900000000000001,0.4949500000000002,131.79772933580583,0.02369442072269761,0.024185123337813908,0.005080913619814061,0.024185123337813908,5.528251270909224e-07,0.035941278403882566,1.0,1.0,-0.002945156064023052,-0.02713027940183696,-0.030326930739325717,-0.2793665552765848,97.125,-0.02713027940183696,-0.002945156064023052,-0.2793665552765848,-0.030326930739325717,0.02369442072269761,3.900000000000001,
RGI60-01.17876,0.7749999999999999,0.27980000000000005,153.65597331834445,0.015984891667738067,0.015928472852055883,0.009680194380536631,0.015928472852055883,5.3251501223697404e-06,0.2748911023808128,1.0,1.0,-0.03186009917260667,-0.04778857202466255,-0.28956140988967244,-0.4343277846408317,110.053,-0.04778857202466255,-0.03186009917260667,-0.4343277846408317,-0.28956140988967244,0.015984891667738067,0.7749999999999999,
RGI60-01.20470,0.45,0.17475000000000002,110.09326573240179,0.001197558182918507,0.0011342275436295574,0.000850249767002318,0.0011342275436295574,6.179322274149796e-07,0.1157142593833024,1.0,1.0,-0.10126252222834572,-0.10239674977197527,-0.9772266193388296,-0.98817239990632,103.674,-0.10239674977197527,-0.10126252222834572,-0.98817239990632,-0.9772266193388296,0.001197558182918507,0.45,
RGI60-01.20734,0.7999999999999999,0.019975000000000017,319.90623979905325,0.13541604351212735,0.15806277057626347,0.007755938986863109,0.1328828132887941,3.575231950792912e-05,1.076495365029526,1.0,1.0,0.15154469944659976,0.01866188615780567,0.6599286679321357,0.08129958396961598,229.638,0.01866188615780567,0.17672465673406915,0.08129958396961598,0.7698922256924974,0.13541604351212735,0.7999999999999999,
RGI60-01.20791,0.20625,0.07499999999999997,142.93148788876027,0.007438314831256457,0.00747629451377103,0.007479781010777134,0.00747629451377103,2.099662579886136e-05,1.0998634170563075,1.0,1.0,-0.06697046283486559,-0.07444675734863662,-0.5566743143449279,-0.6188190412308159,120.353,-0.07444675734863662,-0.06697046283486559,-0.6188190412308159,-0.5566743143449279,0.007438314831256457,0.20625,
RGI60-01.20830,0.30000000000000004,0.2,78.84887296531468,0.0003300423416378784,0.0002936131624001877,0.0004099907170512936,0.0002936131624001877,6.041375549472622e-07,0.023006394050005426,1.0,1.0,-0.013708099688280071,-0.014001712850680258,-0.601754439033537,-0.6146433899348821,22.791,-0.014001712850680258,-0.013708099688280071,-0.6146433899348821,-0.601754439033537,0.0003300423416378784,0.30000000000000004,
